# Original,Translation (dfint overrides)
'o',o
rectangular,retangular
red,vermelho
reedgrass,capim-dos-juncos
ren,ren
rhodolite,rodolita
rhubarbs,ruibarbos
roc hatchling,filhote de roc
round,redondo
rubicelle,rubicela
russet,ruço
saguaro,saguaro
saguaros,saguaros
sailfin molly,molinésia-de-vela
sardonyxes,sardônios
sasquatch,sasquatch
sasquatches,sasquatches
satintail,satintail
sawgrass,capim-serra
schorl,schorl
scramble,embaralhar
scroll,pergaminho
sensual,sensual
sepia,sépia
shads,sáveis
sharpenable,afiável
silver,prata
skunk,gambá
snatches,raptos
spikes,espinhos
stands,suportes
stepladders,escadas de mão
stingray,arraia
stoat,arminho
stoat jack,arminho-macho
stoats,arminhos
strangler,estrangulador
sunstone,pedra-do-sol
tan,castanho-claro
tanzanite,tanzanita
taro,taro
taupe,taupe
teff,teff
thin,fino
timbre.,timbre.
tomatillo,tomatillo
topazolite,topazolita
totemable,totemável
troglodytes,trogloditas
trolls,trolls
tsavorite,tsavorita
unengraved,não gravado
unrotten,não apodrecido
variscite,variscita
warthog,facocero
white-handed gibbon,gibão-de-mãos-brancas
wolverines,carcajus
wombat,vombate
wombats,vombates
wormy tendril,gavinha verminhosa
yaks,iaques
yeti,ieti
yetis,ietis
zoysia,grama-zoysia
